iter	Passed	Remaining
0	200	400972
1	260	260640
2	317	211562
3	380	190021
4	455	181756
5	514	170906
6	571	162616
7	641	159793
8	701	155216
9	758	151007
10	825	149274
11	884	146557
12	942	144070
13	1008	143089
14	1069	141586
15	1141	141556
16	1214	141658
17	1286	141634
18	1353	141146
19	1435	142083
20	1513	142662
21	1583	142405
22	1652	142013
23	1723	141868
24	1787	141218
25	1857	141044
26	1927	140854
27	1995	140514
28	2060	140071
29	2131	139954
30	2193	139346
31	2255	138690
32	2331	138995
33	2415	139696
34	2484	139485
35	2562	139810
36	2623	139209
37	2693	139055
38	2771	139360
39	2836	138999
40	2897	138458
41	2969	138458
42	3029	137894
43	3112	138378
44	3176	138015
45	3235	137444
46	3292	136829
47	3377	137361
48	3443	137121
49	3508	136824
50	3568	136357
51	3645	136557
52	3705	136115
53	3772	135960
54	3854	136309
55	3915	135929
56	3980	135697
57	4058	135882
58	4118	135493
59	4185	135321
60	4258	135372
61	4318	134985
62	4405	135461
63	4467	135149
64	4540	135174
65	4611	135134
66	4688	135277
67	4753	135049
68	4818	134852
69	4877	134467
70	4943	134313
71	5006	134058
72	5076	133995
73	5151	134090
74	5215	133860
75	5276	133570
76	5364	133961
77	5422	133609
78	5481	133290
79	5551	133231
80	5620	133151
81	5689	133086
82	5760	133051
83	5819	132733
84	5874	132358
85	5953	132499
86	6018	132327
87	6087	132264
88	6170	132482
89	6236	132359
90	6297	132110
91	6386	132442
92	6448	132236
93	6517	132156
94	6589	132142
95	6649	131877
96	6715	131757
97	6785	131693
98	6844	131419
99	6904	131183
100	6976	131170
101	7044	131087
102	7111	130970
103	7180	130905
104	7235	130585
105	7298	130408
106	7394	130814
107	7462	130727
108	7523	130516
109	7586	130356
110	7656	130292
111	7732	130340
112	7792	130131
113	7858	130008
114	7923	129875
115	7988	129738
116	8045	129486
117	8117	129462
118	8181	129320
119	8241	129115
120	8301	128917
121	8388	129125
122	8453	128998
123	8512	128783
124	8577	128665
125	8642	128536
126	8707	128411
127	8773	128314
128	8846	128307
129	8907	128137
130	8968	127958
131	9035	127868
132	9108	127867
133	9170	127704
134	9248	127761
135	9331	127898
136	9402	127854
137	9465	127710
138	9530	127592
139	9589	127399
140	9665	127435
141	9730	127319
142	9801	127288
143	9858	127070
144	9925	126973
145	9982	126765
146	10054	126738
147	10113	126549
148	10180	126472
149	10256	126492
150	10332	126521
151	10399	126432
152	10469	126385
153	10538	126329
154	10602	126201
155	10671	126145
156	10739	126067
157	10816	126097
158	10881	125989
159	10944	125856
160	11008	125738
161	11079	125700
162	11148	125644
163	11221	125626
164	11288	125543
165	11365	125567
166	11427	125423
167	11493	125331
168	11563	125278
169	11622	125117
170	11683	124967
171	11748	124865
172	11816	124787
173	11882	124694
174	11959	124723
175	12024	124619
176	12093	124556
177	12161	124486
178	12226	124379
179	12300	124374
180	12381	124431
181	12439	124259
182	12501	124130
183	12573	124093
184	12635	123969
185	12694	123801
186	12769	123804
187	12834	123701
188	12891	123531
189	12959	123451
190	13031	123419
191	13094	123311
192	13161	123223
193	13228	123149
194	13303	123142
195	13363	122999
196	13432	122933
197	13499	122862
198	13561	122736
199	13632	122692
200	13693	122556
201	13760	122477
202	13831	122442
203	13907	122436
204	13970	122328
205	14040	122272
206	14103	122165
207	14165	122041
208	14242	122047
209	14313	122007
210	14392	122027
211	14461	121966
212	14531	121912
213	14598	121834
214	14675	121838
215	14745	121785
216	14809	121679
217	14883	121659
218	14943	121528
219	15007	121422
220	15081	121401
221	15143	121287
222	15207	121182
223	15280	121150
224	15360	121173
225	15436	121171
226	15523	121243
227	15592	121180
228	15663	121137
229	15733	121081
230	15809	121066
231	15883	121044
232	15967	121093
233	16035	121022
234	16116	121048
235	16203	121111
236	16282	121123
237	16347	121029
238	16418	120975
239	16496	120977
240	16573	120968
241	16646	120927
242	16720	120899
243	16797	120887
244	16878	120906
245	16951	120867
246	17021	120800
247	17095	120773
248	17169	120736
249	17261	120832
250	17335	120794
251	17408	120751
252	17473	120656
253	17532	120518
254	17609	120503
255	17678	120437
256	17744	120344
257	17820	120325
258	17888	120247
259	17952	120142
260	18021	120072
261	18081	119944
262	18144	119838
263	18225	119843
264	18308	119869
265	18383	119840
266	18446	119731
267	18524	119720
268	18590	119631
269	18653	119520
270	18710	119372
271	18773	119269
272	18846	119225
273	18912	119134
274	18997	119165
275	19061	119068
276	19123	118955
277	19186	118846
278	19285	118962
279	19350	118866
280	19433	118886
281	19505	118829
282	19569	118733
283	19632	118626
284	19705	118578
285	19765	118454
286	19829	118355
287	19897	118277
288	19957	118155
289	20026	118088
290	20143	118297
291	20221	118283
292	20295	118239
293	20363	118160
294	20425	118050
295	20504	118037
296	20572	117960
297	20650	117943
298	20722	117891
299	20790	117815
300	20851	117699
301	20920	117627
302	20984	117527
303	21058	117482
304	21140	117486
305	21214	117443
306	21287	117392
307	21362	117357
308	21441	117339
309	21529	117369
310	21610	117364
311	21691	117354
312	21766	117316
313	21836	117250
314	21905	117174
315	21982	117149
316	22057	117105
317	22123	117020
318	22207	117021
319	22283	116990
320	22354	116926
321	22440	116940
322	22511	116879
323	22589	116849
324	22654	116756
325	22737	116758
326	22815	116731
327	22891	116688
328	22958	116605
329	23037	116582
330	23116	116560
331	23220	116662
332	23290	116593
333	23366	116551
334	23440	116500
335	23514	116451
336	23605	116488
337	23685	116464
338	23756	116397
339	23828	116341
340	23908	116315
341	23976	116236
342	24049	116182
343	24124	116135
344	24220	116189
345	24302	116173
346	24385	116166
347	24485	116234
348	24581	116287
349	24667	116287
350	24759	116320
351	24853	116357
352	24951	116416
353	25041	116437
354	25143	116509
355	25240	116558
356	25337	116609
357	25428	116629
358	25514	116625
359	25609	116664
360	25698	116674
361	25781	116656
362	25866	116648
363	25950	116636
364	26045	116669
365	26138	116694
366	26229	116709
367	26330	116769
368	26424	116796
369	26501	116751
370	26594	116771
371	26690	116808
372	26775	116794
373	26867	116806
374	26957	116814
375	27046	116818
376	27130	116798
377	27217	116790
378	27305	116785
379	27395	116793
380	27485	116793
381	27577	116809
382	27658	116772
383	27753	116797
384	27842	116792
385	27932	116793
386	28029	116824
387	28112	116799
388	28206	116814
389	28307	116857
390	28394	116846
391	28480	116828
392	28573	116836
393	28668	116856
394	28752	116830
395	28845	116839
396	28927	116803
397	29007	116760
398	29096	116751
399	29196	116787
400	29282	116766
401	29372	116758
402	29457	116732
403	29545	116720
404	29629	116690
405	29713	116658
406	29805	116660
407	29893	116641
408	29982	116632
409	30071	116618
410	30168	116635
411	30255	116617
412	30340	116587
413	30433	116590
414	30522	116575
415	30603	116530
416	30691	116509
417	30783	116507
418	30878	116511
419	30975	116527
420	31071	116535
421	31165	116538
422	31251	116508
423	31340	116491
424	31433	116488
425	31530	116499
426	31620	116484
427	31709	116465
428	31803	116465
429	31889	116433
430	31982	116427
431	32067	116393
432	32167	116411
433	32253	116379
434	32341	116354
435	32430	116332
436	32526	116334
437	32609	116291
438	32709	116310
439	32799	116288
440	32892	116278
441	32989	116282
442	33078	116261
443	33180	116282
444	33274	116273
445	33354	116218
446	33446	116201
447	33540	116192
448	33623	116145
449	33712	116120
450	33787	116046
451	33873	116009
452	33970	116008
453	34072	116026
454	34167	116019
455	34251	115974
456	34336	115931
457	34432	115927
458	34517	115884
459	34608	115861
460	34713	115887
461	34800	115851
462	34882	115797
463	34972	115769
464	35062	115743
465	35150	115711
466	35245	115697
467	35329	115651
468	35448	115716
469	35534	115676
470	35628	115661
471	35721	115641
472	35813	115618
473	35898	115573
474	35985	115533
475	36078	115511
476	36164	115468
477	36257	115447
478	36345	115410
479	36434	115375
480	36531	115366
481	36622	115337
482	36701	115272
483	36791	115239
484	36881	115206
485	36980	115201
486	37090	115232
487	37178	115191
488	37254	115114
489	37339	115065
490	37424	115016
491	37506	114959
492	37598	114931
493	37685	114887
494	37771	114840
495	37862	114808
496	37943	114746
497	38028	114695
498	38135	114711
499	38222	114668
500	38306	114612
501	38403	114599
502	38487	114543
503	38575	114502
504	38678	114503
505	38763	114450
506	38851	114409
507	38944	114379
508	39036	114347
509	39117	114283
510	39202	114231
511	39291	114189
512	39369	114117
513	39460	114082
514	39545	114028
515	39634	113987
516	39732	113972
517	39827	113946
518	39914	113899
519	40001	113849
520	40083	113787
521	40166	113726
522	40253	113680
523	40340	113629
524	40423	113571
525	40516	113538
526	40601	113484
527	40688	113434
528	40769	113369
529	40863	113337
530	40942	113265
531	41031	113222
532	41120	113177
